"Path","IsFileOrDirectory","GitTracked","GitIgnored","FileCount","SizeBytes","ContainsGitMetadata","ContainsManifest","ContainsTests","ContainsEntrypoint","ContainsSecretsSuspected","ContainsRuntimeState","ContainsGeneratedArtifacts","ImportReferences","CIReferences","DocReferences","TestReferences","LastCommitTouch","Classification","Responsibility","CanMove","ProposedOperation","ProposedDestination","RiskIfMoved","RiskIfLeft","RollbackMethod","ValidationCommand","OwnerApprovalRequired"
"T:\Project-AI-main\__pycache__","Directory","True","True","0","N/A (large)","False","False","False","False","False","False","True","0","0","0","0","See git log","GENERATED_OR_RUNTIME","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- __pycache__ or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\.agent","File","True","True","1","0","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- .agent or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\.antigravity","File","True","True","1","0","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- .antigravity or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\.claude","File","True","True","1","0","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- .claude or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\.codacy","File","True","True","1","0","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- .codacy or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\.devcontainer","File","True","True","1","0","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- .devcontainer or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\.githooks","File","True","True","1","0","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- .githooks or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\.github","File","True","True","1","0","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- .github or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\.gradle","File","True","True","1","0","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- .gradle or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\.hypothesis","File","True","True","1","0","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- .hypothesis or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\.mypy_cache","File","True","True","1","0","False","False","False","False","False","False","True","0","0","0","0","See git log","GENERATED_OR_RUNTIME","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- .mypy_cache or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\.obsidian","File","True","True","1","0","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- .obsidian or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\.pytest_cache","File","True","True","1","0","False","False","True","False","False","False","False","0","0","0","0","See git log","GENERATED_OR_RUNTIME","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- .pytest_cache or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\.ruff_cache","File","True","True","1","0","False","False","False","False","False","False","False","0","0","0","0","See git log","GENERATED_OR_RUNTIME","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- .ruff_cache or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\.tmp","File","True","True","1","0","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- .tmp or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\.venv","File","True","True","1","0","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- .venv or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\.venv_airllm","File","True","True","1","0","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- .venv_airllm or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\.vscode","File","True","True","1","0","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- .vscode or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\adversarial_tests","Directory","True","True","0","N/A (large)","False","False","True","False","False","False","False","0","0","0","0","See git log","ACTIVE_ROOT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","False","NONE","N/A","High","Low per BOUNDARY_AUDIT","git checkout -- adversarial_tests or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\agent_playbook","Directory","True","True","0","N/A (large)","False","False","False","False","False","False","False","0","0","0","0","See git log","ACTIVE_ROOT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","False","NONE","N/A","High","Low per BOUNDARY_AUDIT","git checkout -- agent_playbook or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\android","Directory","True","True","0","N/A (large)","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- android or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\api","Directory","True","True","0","N/A (large)","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- api or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\app","Directory","True","True","0","N/A (large)","False","False","False","True","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- app or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\archive","Directory","True","True","0","N/A (large)","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- archive or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\atlas","Directory","True","True","0","N/A (large)","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- atlas or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\audit_reports","Directory","True","True","0","N/A (large)","False","False","False","False","False","True","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- audit_reports or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\automation-backups","Directory","True","True","0","N/A (large)","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- automation-backups or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\automation-reports","Directory","True","True","0","N/A (large)","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- automation-reports or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\baseline","Directory","True","True","0","N/A (large)","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- baseline or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\benchmarks","Directory","True","True","0","N/A (large)","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- benchmarks or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\build","Directory","True","True","0","N/A (large)","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- build or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\buildSrc","Directory","True","True","0","N/A (large)","False","False","False","False","False","False","False","0","0","0","0","See git log","ACTIVE_ROOT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","False","NONE","N/A","High","Low per BOUNDARY_AUDIT","git checkout -- buildSrc or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\canonical","Directory","True","True","0","N/A (large)","False","False","False","False","False","False","False","0","0","0","0","See git log","ACTIVE_ROOT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","False","NONE","N/A","High","Low per BOUNDARY_AUDIT","git checkout -- canonical or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\ci-reports","Directory","True","True","0","N/A (large)","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- ci-reports or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\cognition","Directory","True","True","0","N/A (large)","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- cognition or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\config","Directory","True","True","0","N/A (large)","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- config or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\conformance","Directory","True","True","0","N/A (large)","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- conformance or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\data","Directory","True","True","0","N/A (large)","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- data or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\dataview-queries","Directory","True","True","0","N/A (large)","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- dataview-queries or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\demos","Directory","True","True","0","N/A (large)","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- demos or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\desktop","Directory","True","True","0","N/A (large)","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- desktop or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\diagrams","Directory","True","True","0","N/A (large)","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- diagrams or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\docker-compose.override.yml","File","True","True","1","0","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- docker-compose.override.yml or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\docker-compose.yml","File","True","True","1","0","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- docker-compose.yml or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\Dockerfile","Directory","True","True","0","N/A (large)","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- Dockerfile or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\docs","Directory","True","True","924","N/A (large)","False","False","False","False","False","False","False","0","0","0","0","See git log","ACTIVE_DOC","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","False","NONE","N/A","High","Low per BOUNDARY_AUDIT","git checkout -- docs or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\e2e","Directory","True","True","0","N/A (large)","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- e2e or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\emergent-microservices","Directory","True","True","0","N/A (large)","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- emergent-microservices or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\engines","Directory","True","True","0","N/A (large)","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- engines or from hash manifest","git status; ap validate; python canonical/replay.py","True"
